company,website,industry,funding,signal,meta_ads,paid_spend,fit_score,angle,date,status
CopilotKit,copilotkit.ai,Developer Tools / AI Agents,$27M Series A (May 2026),Recent funding + open-source dev tool + tech audience,Unknown (API unavailable),Likely active (competitive keyword space),9.5,Multi-newsletter package (AI + Dev + Tech). AG-UI protocol adoption by Google/MSFT/Amazon.,2026-05-20,new
Exaforce,exaforce.com,Cybersecurity / AI,$125M Series B (May 2026),Recent funding + agentic security + enterprise,Unknown (API unavailable),Likely active (security keywords),9.0,TLDR InfoSec primary placement. CISO/security engineer audience.,2026-05-20,new
Temporal,temporal.io,Developer Infrastructure,$300M Series D (Feb 2026),Large raise + 380% YoY growth + developer infra,Unknown (API unavailable),Active (durable execution keywords),9.0,TLDR Tech + DevOps cross-sell. Enterprise budget available.,2026-05-20,new
Blitzy,blitzy.com,Developer Tools / AI,$200M Series C (May 2026),Recent funding + $1.4B valuation + autonomous dev,Unknown (API unavailable),Likely active (vibe coding keywords),8.5,TLDR Tech primary. Engineering leader targeting.,2026-05-20,new
Omni,omni.co,AI Analytics,$120M Series C (Apr 2026),Recent funding + $1.5B valuation + 4x YoY growth,Unknown (API unavailable),Likely active (analytics/BI keywords),8.0,TLDR Data + AI cross-sell.,2026-05-20,new
Wonderful,wonderful.ai,Enterprise AI,$150M Series B (Mar 2026),Recent funding + enterprise AI agents,Unknown (API unavailable),Unknown,7.5,TLDR AI placement for developer awareness.,2026-05-20,new
Armadin,armadin.com,Cybersecurity,$189.9M Seed+A (Mar 2026),Record cybersecurity raise + offensive security,Unknown (API unavailable),Unknown,7.5,TLDR InfoSec fit. GV and Kleiner Perkins backed.,2026-05-20,new
Cogent Security,cogentsecurity.ai,Cybersecurity,$42M Series A (Feb 2026),Funded + AI security agents,Unknown (API unavailable),Unknown,7.5,TLDR InfoSec + DevOps. Bain Capital + Greylock backed.,2026-05-20,new
Depthfirst,depthfirst.ai,AI Security,$40M Series A (Jan 2026),Funded + codebase security analysis,Unknown (API unavailable),Unknown,7.0,Developer audience for code security. Accel-backed.,2026-05-20,new
OpenFX,openfx.com,Fintech / API Infrastructure,$94M Series A (2026),Funded + API infrastructure for devs,Unknown (API unavailable),Unknown,7.0,TLDR Fintech + Dev cross-sell. $45B annual volume.,2026-05-20,new
Spade,spade.com,Fintech / Data Platform,$40M Series B (2026),Funded + 470% YoY growth,Unknown (API unavailable),Unknown,7.0,TLDR Fintech primary. 1.9B daily transactions.,2026-05-20,new
Lambda,lambda.com,AI / ML Infrastructure,Previously funded,Active newsletter sponsor (900K reach),Unknown (API unavailable),Active (newsletter sponsorship confirmed),7.5,Warm lead - already sponsoring newsletters. Pitch TLDR for scale.,2026-05-20,new
Nebius,nebius.com,AI Infrastructure,Previously funded,Active newsletter sponsor (600K reach),Unknown (API unavailable),Active (newsletter sponsorship confirmed),7.0,Already in newsletter advertising. Pitch TLDR for audience quality.,2026-05-20,new
Reclaim Security,reclaimsecurity.com,Cybersecurity,$20M Series A (Mar 2026),Funded + vulnerability remediation,Unknown (API unavailable),Unknown,6.5,TLDR InfoSec. Smaller round but strong fit.,2026-05-20,new
Stacks,stacks.ai,Fintech / AI,$23M Series A (2026),Funded + enterprise finance AI,Unknown (API unavailable),Unknown,6.5,TLDR Fintech. Lightspeed-backed. 30+ enterprise customers.,2026-05-20,new
