Company,Website,Industry,Funding Stage,Last Funding,Signal Type,Signal Detail,Current Ad Platforms,Newsletter Fit,Priority Score,Outreach Angle,Contact Target
Wiz,wiz.io,Cybersecurity,Series E,"$1B Series E (May 2025, $12B valuation)",Recent Funding + Active Ad Spend,Fastest SaaS to $100M ARR; heavy Google/LinkedIn spend on cloud security keywords; exact CISO/DevSecOps audience match,"Google, LinkedIn",TLDR InfoSec; TLDR Tech,9,Cloud security leader — TLDR InfoSec delivers CISOs and DevSecOps at 50% lower CPC than LinkedIn,VP Demand Generation
Vercel,vercel.com,Developer Tools,Series E,"$250M Series E (May 2025, $3.25B valuation)",Recent Funding + Developer Audience,Next.js creators with massive developer community; active on LinkedIn and developer communities,"LinkedIn, Developer Communities",TLDR Dev; TLDR Tech,9,Frontend/full-stack platform — 375K TLDR Dev subscribers are building with Next.js,Head of Developer Marketing
Anthropic,anthropic.com,AI/ML Platforms,Series D,$2B+ total raised,Existing Advertiser + Expansion,Current TLDR advertiser with expansion potential across newsletter portfolio,"All major platforms",TLDR AI; TLDR Tech; TLDR Dev,8,Expansion play — upsell to multi-newsletter package; AI newsletter has 725K subs at 45% open rate,VP Marketing
Snyk,snyk.io,Cybersecurity / DevSecOps,Series G,$530M total funding,Active Ad Spend + Audience Fit,Developer-first security platform spanning both dev and security audiences,"LinkedIn, Google",TLDR InfoSec; TLDR Dev,8,Dual-newsletter play — reach developers AND security pros with shift-left security messaging,VP Demand Generation
Databricks,databricks.com,Data Infrastructure / AI,Late Stage,$10B+ valuation,Active Ad Spend + Audience Fit,Data + AI platform targeting data engineers and ML engineers; heavy LinkedIn/Google presence,"LinkedIn, Google",TLDR AI; TLDR Data; TLDR Tech,8,Data/AI platform — concentrated technical audience vs. LinkedIn's scattered feed,Head of Growth Marketing
Postman,postman.com,Developer Tools,Series D,$225M raised,Active Ad Spend,API-first platform actively advertising across developer channels,"LinkedIn, Google, Developer Communities",TLDR Dev; TLDR Tech,7,API development platform — reach developers during morning routine before they search,VP of Marketing
HashiCorp,hashicorp.com,Cloud Infrastructure / DevOps,Public (IBM Acquisition),IBM acquisition completed,Market Event + Renewed Marketing,IBM acquisition bringing renewed marketing push and expanded budget for developer reach,"LinkedIn, Google",TLDR DevOps; TLDR Tech,7,Post-acquisition marketing push — TLDR DevOps reaches infrastructure engineers directly,Director of Demand Generation
Grafana Labs,grafana.com,Observability / DevOps,Series D,$240M Series D,Recent Funding + Developer Community,Strong open-source community; expanding enterprise marketing efforts,"LinkedIn, Google",TLDR DevOps; TLDR Dev,7,Observability for developers — TLDR DevOps and Dev reach platform engineering teams,Head of Growth
Cockroach Labs,cockroachlabs.com,Data Infrastructure,Series F,$278M total raised,Active Ad Spend,Active Google/LinkedIn ads for distributed SQL; targeting data-aware developers,"LinkedIn, Google",TLDR Dev; TLDR Data,7,Distributed SQL for developers — reach data-savvy engineers building cloud-native apps,VP of Marketing
1Password,1password.com,Cybersecurity,Series C,$620M Series C,Recent Funding + Enterprise Push,Enterprise security expansion with significant marketing budget,"LinkedIn, Google, Meta",TLDR InfoSec; TLDR Tech,7,Enterprise security expansion — TLDR InfoSec delivers security decision-makers,Head of Growth Marketing
LaunchDarkly,launchdarkly.com,Developer Tools,Series D,$200M+ total raised,Funding Signal,Feature management leader with growing enterprise presence,"LinkedIn, Google",TLDR Dev; TLDR DevOps,6,Feature management for engineering teams — TLDR Dev reaches builders who need deployment confidence,VP of Marketing
Notion,notion.so,Productivity / B2B SaaS,Series C,"$275M Series C ($10B valuation)",Active Ad Spend + AI Features,Enterprise push with AI features; heavy ad spend across channels,"LinkedIn, Meta, Google",TLDR Tech; TLDR Product,6,Productivity + AI features for tech teams — TLDR Tech reaches the product-led growth audience,Head of Performance Marketing
Linear,linear.app,Developer Tools,Series B,$52M Series B,Funding Signal + Developer Brand,Developer-first project tracking with strong brand affinity in engineering teams,"LinkedIn",TLDR Dev; TLDR Product,6,Developer-loved project tracking — TLDR Dev reaches the exact IC engineers who champion Linear,Head of Marketing
Supabase,supabase.com,Developer Tools / Open Source,Series C,$116M Series C,Recent Funding + Open Source,Firebase alternative for developers; strong open-source community and growing marketing,"LinkedIn, Developer Communities",TLDR Dev; TLDR Tech,6,Open-source backend platform — reach developers exploring modern infrastructure alternatives,Head of Growth
Temporal,temporal.io,Developer Tools / Infrastructure,Series B,$75M Series B,Funding Signal,Workflow orchestration platform targeting backend and infrastructure engineers,"LinkedIn, Google",TLDR Dev; TLDR DevOps,6,Durable workflow execution — TLDR DevOps reaches the infrastructure engineers building distributed systems,Director of Marketing
