company,website,industry,funding_stage,funding_amount,fit_score,signal_type,meta_ads,paid_search,outreach_angle,date,status
Exa,exa.ai,AI / Developer Infrastructure,Series C,$250M,10,recent_funding+go_to_market_hiring,Unknown (API unavailable),Unknown (API unavailable),TLDR AI reaches 725K AI engineers building with agent search APIs,2026-06-03,new
Mintlify,mintlify.com,Developer Tools / Documentation,Series B,$45M,9,recent_funding+go_to_market_expansion,Unknown (API unavailable),Unknown (API unavailable),TLDR Dev reaches 375K developers evaluating documentation platforms,2026-06-03,new
Socket,socket.dev,Cybersecurity / Supply Chain,Series C,$60M,9,recent_funding+rapid_growth,Unknown (API unavailable),Unknown (API unavailable),TLDR InfoSec reaches 340K security engineers evaluating SCA tools,2026-06-03,new
Coder,coder.com,Developer Tools / Cloud IDEs,Series C,$90M,9,recent_funding+global_expansion,Unknown (API unavailable),Unknown (API unavailable),TLDR Dev and DevOps reach platform engineers Coder sells to,2026-06-03,new
Dust,dust.tt,AI / Enterprise Agents,Series B,$40M,8,recent_funding+strategic_backers,Unknown (API unavailable),Unknown (API unavailable),TLDR AI readers are the AI operators Dust needs to reach,2026-06-03,new
Cloudsmith,cloudsmith.com,DevOps / Supply Chain,Series C,$72M,8,recent_funding+enterprise_expansion,Unknown (API unavailable),Unknown (API unavailable),TLDR DevOps audience manages the artifact pipelines Cloudsmith secures,2026-06-03,new
Parallel Web Systems,parallel.ai,AI Infrastructure,Series B,$100M,8,mega_round+enterprise_scaling,Unknown (API unavailable),Unknown (API unavailable),TLDR AI and Tech reach developers building agent infrastructure,2026-06-03,new
Upwind Security,upwind.io,Cloud Security,Series B,$250M,7,mega_round+unicorn_status,Unknown (API unavailable),Unknown (API unavailable),TLDR InfoSec reaches cloud security decision-makers,2026-06-03,new
Tenex.AI,tenex.ai,Cybersecurity / AI,Series B,$250M,7,mega_round+unicorn_status,Unknown (API unavailable),Unknown (API unavailable),TLDR InfoSec audience evaluating AI-enabled threat detection,2026-06-03,new
Geordie AI,geordie.ai,Cybersecurity / AI Governance,Series A,$30M,7,recent_funding+new_category,Unknown (API unavailable),Unknown (API unavailable),AI agent security - fits both TLDR AI and InfoSec audiences,2026-06-03,new
Resistant AI,resistant.ai,Fintech / Cybersecurity,Series B,$25M,7,rapid_growth+ai_native,Unknown (API unavailable),Unknown (API unavailable),AI fraud detection crosses TLDR Fintech and AI audiences,2026-06-03,new
Zenskar,zenskar.com,Fintech / B2B SaaS,Series A,$15M,7,recent_funding+agentic_capabilities,Unknown (API unavailable),Unknown (API unavailable),AI-native billing appeals to TLDR Founders and Tech readers,2026-06-03,new
Daloopa,daloopa.com,Fintech / Data Infrastructure,Series C,$47M,6,recent_funding+ai_data_layer,Unknown (API unavailable),Unknown (API unavailable),Financial data layer for AI - fits TLDR Fintech audience,2026-06-03,new
Primer.io,primer.io,Fintech / Payments,Series C,$100M,6,recent_funding+us_expansion,Unknown (API unavailable),Unknown (API unavailable),AI-native payments infrastructure for TLDR Fintech readers,2026-06-03,new
Spektr,spektr.com,Fintech / Compliance,Series A,$20M,6,recent_funding+repeat_founders,Unknown (API unavailable),Unknown (API unavailable),Compliance automation for fintech - niche TLDR Fintech fit,2026-06-03,new
