Company,Website,Industry,Funding Stage,Last Funding,Signal Type,Signal Detail,Current Ad Platforms,Newsletter Fit,Priority Score,Outreach Angle,Contact Target
Socket,socket.dev,Cybersecurity / DevTools,Series C,"$60M Series C @ $1B (May 2026)",Recent Funding,"Software supply chain security. 27K+ orgs, 1.5M repos protected. Led by Thrive Capital, a16z.",Unknown,"TLDR InfoSec, TLDR Dev",9,"Supply chain security awareness for developers — pitch free firewall + enterprise security",VP Marketing / Head of DevRel
Exaforce,exaforce.com,Cybersecurity / AI,Series B,"$125M Series B (May 2026)",Recent Funding,"AI-native SOC platform. $200M total funding. Largest AI SOC round ever. HarbourVest, Khosla Ventures.",Unknown,"TLDR InfoSec, TLDR AI",9,"AI-native security ops — cross-newsletter campaign targeting security + AI practitioners",Head of Marketing / VP Demand Gen
Coder,coder.com,Developer Tools / Cloud,Series C,"$90M Series C (Apr 2026)",Recent Funding,"Cloud-based AI development infrastructure for enterprises. Remote dev environments at scale.",Unknown,"TLDR Dev, TLDR DevOps, TLDR Tech",9,"Cloud dev infrastructure for enterprise engineering teams — reach CTOs and VP Engs",Head of Growth / VP Marketing
Blitzy,blitzy.com,Developer Tools / AI,Growth,"$200M @ $1.4B (May 2026)",Recent Funding,"Autonomous software development for Global 2000. Scaling go-to-market functions.",Unknown,"TLDR Tech, TLDR Dev",8,"Autonomous enterprise coding — awareness with engineering leaders and CTOs",VP Marketing / Head of Growth
depthfirst,depthfirst.com,Application Security,Series B,"$80M Series B (Mar 2026)",Recent Funding,"Application security platform. $80M from Meritech Capital.",Unknown,"TLDR InfoSec, TLDR Dev",8,"AppSec for dev teams — reach security-aware developers",Head of Marketing
GitGuardian,gitguardian.com,Cybersecurity / DevTools,Series B,"$50M Series B (Feb 2026)",Recent Funding,"Secrets detection and non-human identity security. Led by Insight Partners.",Unknown,"TLDR InfoSec, TLDR Dev, TLDR DevOps",8,"Secrets management for developers — high developer audience overlap",VP Marketing / DevRel Lead
Upwind,upwind.io,Cloud Security,Series B,"$250M Series B (Jan 2026)",Recent Funding,"Cloud security platform led by Bessemer. Targets DevOps and cloud teams.",Unknown,"TLDR DevOps, TLDR InfoSec",8,"Cloud security for DevOps teams — large round signals marketing ramp",Head of Demand Gen
TENEX,tenex.ai,Cybersecurity / AI,Series B,"$250M Series B (Mar 2026)",Recent Funding,"AI security operations and managed security. Led by Crosspoint Capital.",Unknown,"TLDR InfoSec, TLDR AI",8,"AI-powered managed security — massive budget for awareness campaigns",VP Marketing
Oasis Security,oasis.security,Identity Security,Series B,"$120M Series B (Mar 2026)",Recent Funding,"Non-human identity security. Led by Craft Ventures. Relevant to AI agent security.",Unknown,"TLDR InfoSec, TLDR AI",7,"Non-human identity security — timely with AI agent proliferation",Head of Marketing
Linx Security,linx.security,Identity Security,Series B,"$50M Series B (Mar 2026)",Recent Funding,"Identity security for human and non-human identities. Insight Partners, Index, Cyberstarts.",Unknown,"TLDR InfoSec, TLDR DevOps",7,"Identity security across human and machine identities",VP Marketing
Mastra,mastra.ai,Developer Tools / AI,Series A,"$22M Series A (2026)",Recent Funding,"Agent-building platform for developers. New entrant in AI agent tooling.",Unknown,"TLDR AI, TLDR Dev",8,"Agent-building platform — reach developers building AI agents",Head of Growth
Depot,depot.dev,Developer Tools / CI,Series A,"$10M Series A (2026)",Recent Funding,"CI infrastructure optimized for agentic workflows. Developer-first.",Unknown,"TLDR Dev, TLDR DevOps",8,"CI for agentic workflows — niche developer audience fit",Head of Marketing
Qodo,qodo.ai,Developer Tools / AI,Series B,"$70M Series B (Apr 2026)",Recent Funding,"AI coding tools. Competes with Copilot/Cursor. Developer audience.",Unknown,"TLDR Dev, TLDR AI, TLDR Tech",8,"AI coding tools — reach developers evaluating coding assistants",VP Marketing / Head of DevRel
Cloudsmith,cloudsmith.com,Developer Tools / Security,Series C,"$72M Series C (Apr 2026)",Recent Funding,"Package management and supply chain security for enterprises.",Unknown,"TLDR Dev, TLDR DevOps, TLDR InfoSec",7,"Package management security — developer and DevOps audience",Head of Marketing
Ramp,ramp.com,Fintech / AI,Growth,"$750M @ $44B (Jun 2026)",Recent Funding,"AI-powered expense management. AI agents for procurement. Targets tech companies and startups.",Unknown,"TLDR Tech, TLDR Founders",7,"AI-first expense management — reach startup founders and tech finance teams",VP Marketing / Head of Growth
