url,status_code,title,title_length,h1_count,h1_text,meta_desc,word_count,issues
https://www.numeral.com/case-studies,200,Customer Stories | Numeral,26,1,Customer stories,"Learn how Numeral helps leading ecommerce and SaaS businesses get compliant, stay compliant, and eliminate mistakes – we guarantee it.",2749,
https://www.numeral.com/pricing,200,Pricing,7,1,Simple & honest pricing.,We built Numeral to be the easiest way for ecommerce entrepreneurs to handle sales tax.,3859,
https://www.numeral.com/reviews,200,"Numeral Sales Tax Reviews | Their Words, Not Ours",49,1,The reviews are in! See why leading brands love us.,"Growing ecommerce and SaaS businesses trust Numeral for rates, remittance, and everything in between.",3607,
https://www.numeral.com/about,200,About us | Numeral,18,1,About Numeral,We built Numeral to be the end-to-end platform for sales tax compliance. Let us take care of sales tax.,2499,
https://www.numeral.com/demo,200,Book a demo — Numeral,21,4,Talk to our | sales tax | experts. | We look forward to chatting with you.,Ready to put your sales tax on autopilot? Book a free demo with our team today!,4617,Multiple H1s
https://www.numeral.com/taxjar-alternative,200,TaxJar Alternative - Why Numeral is the Better Choice,53,1,Numeral is the better alternative to TaxJar,Looking for the best alternative to TaxJar? Spend under five minutes a month on sales tax with Numeral's white-glove service.,4078,
https://www.numeral.com/blog,200,Blog — Numeral,14,1,Resources,"Explore our in-depth articles and resources on all aspects of sales tax, crafted by industry experts to provide you with the insights and guidance you need.",2699,
https://www.numeral.com/avalara-alternative,200,Avalara Alternative - Why Numeral is the Better Choice,54,1,Numeral is the best alternative to Avalara,Looking for the best alternative to Avalara? Spend less than five minutes a month on sales tax with Numeral's white-glove service.,4058,
https://www.numeral.com/careers,200,Careers at Numeral | Join a team of builders,44,1,Join a team of builders,We are based in San Francisco. We’ve assembled a wonderful team. And we work hard to be the best place you’ve ever worked.,2546,
https://www.numeral.com,200,Numeral | Sales Tax on Autopilot for Ecommerce & SaaS,53,2,Let us worry | about sales tax.,We fully manage the headaches of sales tax so you can get back to real work. Get started for free today!,7264,Multiple H1s
https://www.numeral.com/legal/guarantee,200,Guarantee,9,1,Guarantee,,2469,Missing Meta Description
https://www.numeral.com/legal/terms-of-service,200,Terms of Service,16,1,Terms of Service,,12529,Missing Meta Description
